model,seed,fold,accuracy,threshold,auc,logloss
cat,42,1,0.7964113181504486,0.4275,0.8810765034167642,0.43525607533894506
cat,42,2,0.81608005521049,0.42,0.9004920265970621,0.41142545417876486
cat,42,3,0.7925440110459095,0.52,0.8767457944121233,0.43990397195463243
cat,42,oof,0.799493845622915,0.4275,0.8858057007887854,0.428860563590808
lgb,42,1,0.800552104899931,0.4425,0.8918985987622774,0.4134542726276628
lgb,42,2,0.8250517598343685,0.4375,0.9078290814868443,0.38761857299845287
lgb,42,3,0.794269934414912,0.5025,0.8891842965965411,0.41536690365289086
lgb,42,oof,0.8057057402507765,0.4475,0.8961878284289878,0.40547877907591257
xgb,42,1,0.7912353347135955,0.4325,0.8780724562646076,0.4433359891916371
xgb,42,2,0.8181504485852312,0.5075000000000001,0.8965531941242594,0.42312063562279434
xgb,42,3,0.7911632723507076,0.5175000000000001,0.8778325219418868,0.4450142548087071
xgb,42,oof,0.7978833544230991,0.4975,0.8837145275519068,0.4371560558809296
extra_trees,42,1,0.8022774327122153,0.375,0.8849212265200159,0.4220055647109879
extra_trees,42,2,0.8209109730848861,0.44,0.9021745860879838,0.4016600560677628
extra_trees,42,3,0.7966862271315154,0.4075,0.8804842801049741,0.42726784086232644
extra_trees,42,oof,0.8043253192223628,0.4625,0.8890310342399875,0.41697663683365693
hist_gb,42,1,0.8029675638371291,0.46499999999999997,0.8951696141130678,0.40455377313668117
hist_gb,42,2,0.8253968253968254,0.51,0.9107402785451637,0.37961856741684086
hist_gb,42,3,0.7977217811529168,0.5275000000000001,0.8887028953662509,0.4121132255374694
hist_gb,42,oof,0.8070861612791902,0.5225,0.8980639265007222,0.39876031948765167
